time,node,mean_occupancy,max_occupancy,min_largest_free_block,mean_fragmentation,max_fragmentation
0,0,0.4,0.4406,42,0.6896,0.799
0,1,0.5138,0.8625,17,0.5229,0.7952
0,2,0.8688,0.975,3,0.5472,0.6757
0,3,0.5953,0.9281,6,0.6604,0.8204
0,4,0.3625,0.4969,45,0.6112,0.7847
0,5,0.7313,0.8719,17,0.5655,0.8531
0,6,0.6594,0.8625,17,0.593,0.6598
0,7,0.7375,0.9938,2,0.4423,0.7805
0,8,0.7055,0.9,6,0.6927,0.8125
0,9,0.4906,0.75,24,0.7029,0.8119
0,10,0.4828,0.8531,9,0.4525,0.8875
0,11,0.5437,0.6844,24,0.64,0.7624
0,12,0.1781,0.3281,38,0.5374,0.8233
0,13,0.2288,0.5719,29,0.393,0.7883
0,14,0.5391,0.8625,27,0.6263,0.7786
0,15,0.3375,0.5344,65,0.3173,0.5638
0,16,0.2906,0.45,42,0.5803,0.7614
0,17,0.5297,0.7031,21,0.8312,0.8835
0,18,0.2344,0.3563,44,0.483,0.7864
0,19,0.225,0.3281,75,0.5444,0.6512
0,20,0.1453,0.2062,164,0.3894,0.4403
0,21,0.1078,0.1219,138,0.4845,0.5241
0,22,0.2531,0.3469,57,0.7019,0.7273
0,23,0.175,0.2437,51,0.4978,0.7918
0,24,0.1656,0.2812,57,0.4738,0.7522
0,25,0.3,0.4406,27,0.6801,0.8924
0,26,0.1078,0.2062,87,0.3287,0.6575
0,27,0.1266,0.2437,81,0.3326,0.6653
5,0,0.5031,0.6375,21,0.83,0.8537
5,1,0.6112,0.9,9,0.6821,0.8024
5,2,0.9094,0.9938,2,0.5305,0.82
5,3,0.6562,0.975,3,0.7097,0.7984
5,4,0.4469,0.5813,27,0.6276,0.7985
5,5,0.8219,0.9844,3,0.697,0.8824
5,6,0.8094,0.9938,2,0.4968,0.7632
5,7,0.75,0.9938,2,0.5128,0.7857
5,8,0.6984,0.8719,11,0.7924,0.8594
5,9,0.5687,0.7875,12,0.797,0.8585
5,10,0.5484,0.975,3,0.5532,0.7989
5,11,0.5836,0.7312,15,0.7943,0.8739
5,12,0.2063,0.375,24,0.6603,0.88
5,13,0.2606,0.7031,21,0.4075,0.8565
5,14,0.6352,0.9656,3,0.7839,0.8598
5,15,0.3875,0.675,21,0.466,0.7981
5,16,0.3938,0.5719,33,0.5469,0.7591
5,17,0.6094,0.7312,15,0.8396,0.8537
5,18,0.2906,0.4125,30,0.5274,0.8404
5,19,0.2859,0.3937,75,0.5348,0.6134
5,20,0.1313,0.15,90,0.5438,0.6831
5,21,0.1266,0.1406,57,0.7221,0.7927
5,22,0.2766,0.4031,29,0.6998,0.8482
5,23,0.2437,0.3656,39,0.5168,0.8259
5,24,0.2219,0.3844,39,0.5191,0.802
5,25,0.3234,0.4688,27,0.7863,0.8583
5,26,0.1453,0.2437,105,0.2831,0.5661
5,27,0.1547,0.2719,69,0.3519,0.7039
10,0,0.6188,0.7219,18,0.8187,0.8448
10,1,0.66,0.9938,2,0.5117,0.7568
10,2,0.925,0.9938,2,0.4702,0.8393
10,3,0.6703,0.9563,3,0.7862,0.8388
10,4,0.5469,0.6562,27,0.7032,0.7545
10,5,0.8594,0.9938,2,0.5688,0.8636
10,6,0.8375,0.9938,2,0.4543,0.88
