0 1 2 3
0 2 3 26
0 3 35 4
0 4 5 19
0 5 5 10
0 6 3 11
0 8 14 3
0 9 18 1
0 11 15 28
0 16 5 9
0 17 174 1
0 24 47 5
1 0 44 18
1 2 119 6
1 3 18 29
1 4 376 1
1 5 45 26
1 6 44 1
1 7 1 15
1 8 124 8
1 9 2 1
1 10 105 1
1 11 3 2
1 13 4 2
1 15 1 28
1 16 25 21
1 17 16 2
1 19 52 1
1 24 34 1
2 0 78 1
2 1 26 18
2 3 24 1
2 5 2 21
2 6 3 9
2 7 25 2
2 8 6 25
2 9 7 28
2 10 91 1
2 11 1 19
2 17 1 17
2 18 6 1
2 20 2 4
3 0 145 8
3 1 16 7
3 2 7 12
3 4 137 1
3 5 112 10
3 6 2 17
3 7 10 1
3 8 6 11
3 9 95 4
3 11 5 9
3 12 1 16
3 16 17 23
3 17 86 3
3 18 46 10
3 19 1 4
3 20 2 8
3 24 41 7
3 27 1 2
4 0 5 14
4 1 86 1
4 3 3 27
4 5 20 1
4 6 14 1
4 8 25 1
4 9 196 1
4 10 73 1
4 11 105 1
4 13 1 26
4 14 1 23
4 17 1 5
4 18 96 1
4 20 78 1
4 23 7 3
5 0 5 19
5 1 18 27
5 3 260 23
5 4 3 21
5 6 152 4
5 7 1 17
5 8 370 16
5 9 14 29
5 10 2 8
5 11 29 2
5 16 18 12
5 17 38 4
5 21 1 19
5 22 6 22
5 24 5 3
5 25 1 5
6 0 7 13
6 1 5 21
6 2 11 2
6 3 65 1
6 4 27 1
6 5 37 19
6 7 4 21
6 8 11 28
6 9 3 19
6 10 5 11
6 11 75 27
6 17 3 24
6 18 1 13
6 23 63 8
6 25 18 28
7 0 267 2
7 1 120 1
7 2 78 2
7 3 38 1
7 6 177 17
7 8 123 1
7 9 1 3
7 10 1 6
7 11 44 1
7 12 1 1
7 14 29 2
7 15 102 23
7 17 1 5
7 19 1 1
7 25 216 9
7 27 6 1
8 0 17 24
8 1 15 28
8 2 23 8
8 3 43 14
8 4 5 6
8 5 2 7
8 6 370 16
8 6 240 1
8 7 4 10
8 9 1 11
8 10 182 1
8 11 1 6
8 14 1 27
8 16 4 1
8 17 1 23
8 18 1 15
8 23 1 15
8 24 13 3
8 27 55 7
9 3 82 4
9 5 4 6
9 6 1 12
9 7 89 1
9 10 218 1
9 11 1 29
9 12 10 19
9 13 33 5
9 18 42 2
9 24 1 20
9 25 12 3
9 26 6 3
10 1 34 2
10 2 2 4
10 5 9 8
10 6 1 12
10 7 1 16
10 8 9 1
10 9 3 19
10 11 181 1
10 12 205 1
10 14 2 28
10 17 4 19
11 0 1 5
11 2 2 17
11 3 1 1
11 6 154 1
11 7 9 3
11 8 9 28
11 9 94 2
11 10 4 17
11 14 56 1
11 15 3 14
11 21 69 18
11 22 45 1
11 23 44 1
11 24 1 10
11 25 3 18
11 26 1 5
12 2 55 5
12 5 43 1
12 7 141 8
12 8 89 1
12 9 72 28
12 10 1 10
12 13 107 1
12 16 1 15
12 21 1 1
13 7 1 19
13 9 31 1
13 10 109 1
13 11 10 9
13 14 26 1
13 27 8 13
14 0 35 1
14 2 27 16
14 4 1 20
14 6 1 1
14 7 37 2
14 9 1 18
14 10 9 16
14 11 177 1
14 12 41 4
14 13 3 29
14 15 17 19
14 16 1 15
14 24 8 7
15 0 1 23
15 1 1 10
15 2 6 24
15 4 20 13
15 8 100 24
15 11 61 1
15 12 2 21
15 13 3 13
15 14 7 1
15 19 3 3
15 24 17 14
16 0 41 11
16 1 73 4
16 3 70 14
16 5 26 26
16 8 29 18
16 11 92 6
16 18 4 1
16 20 40 5
16 24 68 23
16 25 1 3
16 26 1 15
17 0 23 22
17 1 6 23
17 4 231 1
17 5 2 7
17 6 1 25
17 10 2 11
17 11 114 2
17 14 36 4
17 16 3 2
17 20 66 3
18 2 25 1
18 6 4 25
18 8 108 1
18 10 108 2
18 12 13 9
18 16 2 4
18 19 37 28
18 22 12 13
19 0 4 1
19 2 2 13
19 4 1 16
19 9 1 27
19 10 1 18
19 17 62 6
19 18 1 11
19 20 24 6
19 21 5 3
20 0 1 25
20 1 10 19
20 3 60 2
20 4 1 13
20 7 80 1
20 9 7 8
20 19 141 1
21 9 50 1
21 14 1 28
21 20 35 2
22 8 88 1
22 11 24 21
22 12 3 17
22 20 34 2
22 23 1 28
22 27 3 27
23 1 29 2
23 6 2 28
23 7 13 3
23 10 62 19
23 21 2 11
24 0 45 12
24 1 5 14
24 3 90 15
24 5 5 18
24 6 25 2
24 7 6 14
24 8 36 23
24 11 1 28
24 14 5 12
24 16 24 6
24 20 3 4
24 25 3 7
24 26 6 10
25 0 1 16
25 1 86 4
25 6 2 5
25 8 1 11
25 9 1 27
25 11 218 1
25 19 1 10
26 7 1 10
26 11 57 13
26 12 3 24
26 23 20 2
26 24 1 16
26 25 4 28
27 2 2 23
27 8 88 4
27 9 10 7
27 10 64 3
27 11 39 1
27 12 1 18
27 15 1 12
27 16 17 27
27 17 11 17
27 18 2 3
27 26 9 22
